pay_code,pay_code_id,is_overtime_pay_code,is_leave_pay_code
Hourly Low Census On Call,af34f657be588627144a06740d9662c1ab6155873e2dc5f12dec83754099f22c,false,false
MNA 50 HP Calledin Work After S,0d7b1bcc8018aa1e1f96afa48d560e2d07ba6ea07d2e2c590f4b380be60d4dc4,false,false
Hourly Secondary,0960147a9f9c6a6fcf1a0a658612210d9e8787b62c40d5646d32698ab0277f5d,false,false
Jury Duty Eve TM,da970c0e04a8be109f3281fa5d88fb26520488a7140fd7e9da1e967c2621b7f6,false,true
Flex Holiday TM,e6f22b8f9f066ee45281d3799799c0b399843c4055ca1601ce9fd729d027aab4,false,true
MNA Temp Reassign 8 50HP PremNit,65d153d103b75ee6b0ec5ce73fff544f4b8f0596644bae4dba2e04ba798e1889,false,false
Sick MSL TM,0caa29e8a2de6e4f0ba5e80398a314b1dde0294950cb0f38f4ce906bc27e4f58,false,true
TM-Adm12 indirect PN,232a1263428830416a6150eee1bf7d54495ffa60860cf2b09b01577749be3b9f,false,false
TM-12 OT 100HP LH,db0b3e0db58997e1b16e55913061317825353e846dfd59dc0d410c1b896685d4,true,false
WF-Non Union Meal Timestamp,acacd72a14ebe0d058e28f50d2946c78bad62d4092fb50f4972532376ef253b8,false,false
