pay_code,pay_code_id,is_overtime_pay_code,is_leave_pay_code
Personal Unsched TM,7071cd04373a254f1b417efc673f3e74ed99378087a66d70d757e84dded27510,false,true
Professional Activities TM,9f16306382a01898dc7bbd1e598429ae166407b1440e809465670ffc5ad28028,false,false
TM-Adm9 indirect,67493311e8d5ec3562c608e11375cec6a2ef5eb1196ea15752a36d0f35a00739,false,false
Vacation Eve TM,218878c83ce9b5e6692c77455847350cf86fe0c21ac5dfc6cf920bed63c2c097,false,true
Holiday Nite Unsched TM,52e9d57b4c9fe607501f5fdb60e764aacee2c13700dafa5b4df8beaa93fe2f9a,false,true
TM-Float 12 OT 50HP NU,11bf0cd0ca381ba72bf38bb5270de29af4d25ad5a7796c0949bd239e8ed5f061,true,true
Hourly Aide Clerical,164d9c958eccf1f772dc4c6de1bc6710671267bc063e43e4742607ae76be5202,false,false
Hourly Hospice RN LPN,b04d697566c96750b6fd7e8a85786feed79044d5dd025380eb3aa67b81b3a788,false,false
Perm Weekend Day,afe52c79c13d97463f684dc1a2f9d2426f7597602f7ad1ecbaf9750067e2f999,false,false
PTO Hourly Unsched Eve TM,b10818ef4b0ee6ea35abecc74f63ce40b2a4a120f2ccf19ea82072f404450638,false,true
TM-Float 12 OT 50HP,d7cf8b3d2e05f3e7502ebb1dd1c8041f42425a4918920c4314b8580d65a79d36,true,true
TM-08 OT 50HP PermNite,02a8570150a7fa26fa6a5f031db6039e137fc7d1774a44411623a4dde425b2d0,true,false
TM-Adm8 indirect,fe8265812e8f6957916758aa9f46be0c197c23470f60e8af557a3cd52b3d8a6a,false,false
Cancelled As Requested TM,778c3cc81889c60141112c836294bfeee493c39eeac5aeda2a51ff5f84dc4c96,false,true
MNA 12 50HP Orient Float,a5ffc86fd4894ae9e0c10347e0443f3f7873b4ad3dbc5999daf56aaaf21a84b8,false,true
HH-PTO sick,986507ca8bcca3a1d3e0989f448bc3d526d4693e647229e894b3db44e65c37f0,false,true
HH-ESick,1dd612b8e22d3ed25e63e80b3ebea52209dee43566b58620109574f4683df1fe,false,true
HH OnCall Union,ac2e446977cd968f5197d744a7fdb0910e79de4af5727cfb5ab2cf299c0b64f5,false,false
HH-Pharmacy GF,c063eeb2dd32903a81be7f1426e7dfbf74e9d52c959a0a8068724bec74aa5fc4,false,false
MNA 10 50HP,ba2641866c8ce94b694a237336c22c17d48a2be15f38e89a97c12ca178f7961e,false,false
TM-Adm10 indirect,3713041f6a161db78f576040fdd45f0d8c8055a66983b7524ffa3a7b2cf4d4fa,false,false
TM-Mtg8 indirect,ed1a4440681557b44ce2d1e3a70b550c229e6f3a6ba6604a24f63571aa5c9ed1,false,false
TM-Orient12 indirect NU,c3f5acc35ff980aa728da0ef7e252606daf2ec6beaff5d3c38f8ab338a904495,false,false
Flexed Unpaid TM,681f1d81a35a3c8ada8503b34f6f5f6838b12583196771b80936e8752db1c9fc,false,true
Baylor Sunday Day Transfer,c0ea72f0b43383b98e0afa8fe66479996804e8e429d85a943211c973cefb8118,false,false
normal_worked,0b2e54172201f3eb5f895a3dc986ac18f6201838a472f4f22d73f444df22ab5c,false,false
Perm Nite,e38d8c865c939610a651cd85684ce963afa2ef6f7f99a2f15f8cc4b1af57d749,false,false
TM-Orient8 indirect,08b5240a884f663b7c6c430e38df6757a307325a05d4ba968df0859564e195bf,false,false
TM-10 OT 50HP,0c8d7ba008ec31782560264964e647de43519b5250230d6422777bfdb5aa35ee,true,false
Holiday Eve TM,d4a89ac2fb55c82a95acc812682add8565058c99501aaf5b966e974757fb3804,false,true
TM-Float 16 OT 50HP,54d4957b125194a4988b4c093800d0f0138972e18b1191c35b94c73cefe92f4a,true,true
Hourly Hospice HHA CNA,7dcad174d014bc945f87cf6fa05ff6d5a6e0cb94176acfc9c518d20b133ce94f,false,false
Non Prod Orient TM,5d62c4e172180c3ef7a7658a37c0a56b21233b120740f5ae7b6bf8cd087d9fa5,false,false
UNSCHEDULED,35dc5f240989aa729ba065da3b6fc839d5af087d9eedb593f9246b71e01411c2,false,false
HH-Union DOT 8 No Min,922c76d337fb4a17d2613d10342eb37153b17f178e289f03d3810bc6efbaa918,false,false
HH-Education Mandatory,4d80d3e9feaa4733742be403981bff0e573c8887b1f18439ce2c646273314e51,false,false
TM-Orient12 indirect,90825b6f8ad28dc1fc8fd783b00920a5efe0ed2c1d93b2caa19f1dbbca7a299d,false,false
TM-10 OT 50HP PermNite,62f0e630ec1c12c7c6ea96c5236056fb8e852e246c8f6a960d15b0ea08f8c817,true,false
Meeting TM,576dd1a374bc2713cf09ab3ed649c5e328cb13d90bed08880f44d170bbf14ebb,false,false
Administrative Time TM,ee2054253e993d52063082c169cbc4ee050a8f7bbdef86362bb9b51bdecb7fbc,false,false
TM-Temp Reassign 12 OT 50HP,500e1c07542764e65f5d012d6b0d5c3123579df2723bfe17276eea84127912da,true,false
TM-Orientation Non Union,c812f860307b3855bca19385cf1bcf9982fb2845f032f9bd2fecbefd684e5e5b,false,false
MNA 8 50HP Edu,577c460469b64c88fd83612613022023fbcf987153f9774ce297b6a87f3ff89e,false,false
HH-Unpaid Time,e5a021bde8e2fe436560f96b03a5a89baea7ee01d58aa19c1c4c4b510b1f798e,false,true
SEIU On Call,d9c876db782daf2425e09541fd8e7cf5b6e7be60c26e23b71baab415c855bd5b,false,false
HH-Nursing WD,8b92053ae79f5b66cc8928968b7c3c9c8d59f6e32a4691a186a05313272e63a2,false,false
SEIU 12,ac7b14eacf894f20b299ac3da940e4442064908b710e6e73f86f4c35dc2012d2,false,false
Charge Pay MNA TM,05a83f853ef235493c7858e7d597f0a51d3701865823d59d9b14788532cf884d,false,false
Vacation Unsched TM,00015f33bfc70375a8bb911e3f63b283e8d57c666baeb6766b2fd354831bfc9f,false,true
TM-Temp Reassign 08 OT 50HP,f422ae4a78e015a8c656aa7393a7183ea2a0680003bde672b7908db3647220ec,true,false
MNA Temp Reassign 8 50HP,6737963f833ef74829b4b8c28e83df3934a62468fd287b6b265349203466482e,false,false
Per Diem,ae2b43a4106b147ed0d7e12e48752a4d7008a4e2cf4698222f8471c201b51e44,false,false
PTO Scheduled TM,348625dd1de1c80120ac16e3bb274cd36d76a8e330ca1ea8288e9ac645fab726,false,true
Hourly Mtg,e897a1b78fb8baf2f67167522c1d1f4a7a49c239126df8c46106dbe4d2010f80,false,false
HH-RN Preceptor,9948cfe48e818b2ba8c6873ca30d005f3f46c6e9a1e70600df104342fce804e1,false,true
MNA 11 50HP,0bc6d6ddafbcbb2be5866a35932df117b934f7b4f1273bf2099cbb3a7048d64b,false,false
TM-Float 10 OT 50HP,5adbc054d37c87695682a3dbb4703a1ecd626e0ce9f492844f2fa4dddf1d1f70,true,true
Vacation Night TM,efc8ac6eee2a057fdceaada34266a05ef54e15ac3577687a6496ecc19a58151a,false,true
TM-Adm12 indirect,8aaf7d44c616e15c910f6ff3eea79358f858becd9b98dc553d720c2e6dbbf990,false,false
TM-Edu8 indirect,1a4094b20fe7ec30fdd62161be9c7899ed8584809828af77c0e89f1bcefdd803,false,false
MNA 12 50HP PermNite Admin,878c3a8c7497b3a61cfbdaafb38c53a0f09c7efd2495b3fc058eb6d7646ee157,false,false
TM-Edu12 indirect,ce9c28eb43dfdf22fec5637f231ba97d54e63e8805febd37c4c1e8ba486b6ae7,false,false
TM-Education Non Union,c0a240a2478cac167ab7d48815c8efc03032aeab1b7d7096b7dc59fc2ccdacfe,false,false
TM-08 OT 50HP Time Stamp PermNit,378123d0cc68696a409c9256298d95b00f3b8526109365dfe4ab8d3244f863e6,true,false
TM-Edu8 indirect NU,8c7422d3830d724d0b404fe353fa22df132d631c698c8ad2189cae3454cf99f7,false,false
Flex Vacation TM,b8c351fb295a71c3e58cc75cf6d1f91bd820420feaa0cb4ca3729e611cc5a300,false,true
TM-Education Non Union NU,62925af6b878c3a1efe89625093a7350e993f1a09def9109509b596b56efa14c,false,false
Perm Weekend Eve,11243ecfe1c2a992ef7dd00faefd70c95fba505183ed71d3dbb1257e36d0e4db,false,false
HH OnCall NonUnion,dadeb89532ebeaf8e38ff673dd77f07f68de1eaf815287c6a21de7ae9f4cdff9,false,false
On Call TM,021b2d349b4c7a9a3b54237481af4df48a95be3bb38a9826f57f80e44588a7eb,false,false
HH-ON CALL 5,d6e4a9b20ec15a5171ea0f9a40f04816fbe3ad0a7462458d0ac01fd676155455,false,false
HH-School of Nursing,90db99b949e40026ee06568385b69eac01f20d963a782924e3f21a5749c61a9a,false,false
TM-Temp Reassign NU Meal TS NU,64aef3edf88739933a3e98cb0112a5c5712162ee9971fbb2e526f40b90085d8f,false,false
MNA 12 50HP,accd6ee18c86d322246315d7c3aae814169bac0192e9e86915eabd4c797117ce,false,false
HH-Nursing,4b32c80c92c9f455a21309766a8d6b70581eece7a1128e5d8196e51ec141b898,false,false
MNA 12 50HP PermNite,24158618929c750ac6486ed0bc39829766d8e9d78680875f0a47d3f10ea53a40,false,false
Cancelled TM,779f3b03aa10e730bea2d31f7028612aee4633acbcdd438cd3ee297bee8b7781,false,true
Orientation TM,aaa5999d6d0b29744948c643922dac0e799c49e545db709e9a103fef0c16be8a,false,false
TM-08 OT 50HP,38f55dde661c921a2fb0cb8d8bf53351091f2f0ee4d16c9f6b05228186c883e1,true,false
